ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
234,New Dominion,New Dominion,New Dominion and True Humorist,,234,N,,,CA,NB,Saint John,HIL-MIC,"Feb 2, 1878",1878-02-02,1878-02-02,N,"Feb 2, 1878 - 1879",N,,Weekly,,,,"Feb 2, 1878 ",02/02/1878,,1879,01/01/1879,12/07/1881
235,New Dominion and True Humorist,New Dominion and True Humorist,New Dominion and True Humorist,,234,N,,,CA,NB,Saint John,HIL-MIC,"June 29, 1867 - Jan 26, 1878",1867-06-29,1878-01-26,N,"June 29, 1867 - Jan 26, 1878",N,,Weekly,,,,"June 29, 1867 ",29/06/1867,,"Jan 26, 1878",26/01/1878,
236,The New Freeman,New Freeman,New Freeman,,236,N,,,CA,NB,Saint John,HIL-MIC,"Jan 1, 1903 - Dec 29, 1984",1903-01-01,1984-12-29,N,"Jan 1, 1903 - Current",N,,Weekly,,,,01-Jan-03,01/01/1903,,Present,,
237,Progress,Progress,Progress,,237,N,,,CA,NB,Saint John,HIL-MIC,"May 5, 1888 - Feb 1, 1902",1888-05-05,1902-02-01,N,"May 5, 1888 - Feb 1, 1902",N,,Weekly,,,,"May 5, 1888 ",05/05/1888,,01-Feb-02,01/02/1902,
238,"Wesleyan (Halifax, Nova Scotia : 1875)","Wesleyan (Halifax, Nova Scotia : 1875)",Wesleyan,,369,N,,,CA,NS,Halifax,HIL-MIC,"Oct 2, 1875 - Aug 1911",1875-10-02,1911-08-01,N,"Oct 2, 1875 - Aug 1911",Y,,Weekly,,,,"Oct 2, 1875 ",02/10/1875,,Aug-11,01/08/1911,31/08/1911
239,Religious Intelligencer,Religious Intelligencer,The Cariboo Courier ,,336,N,,,CA,NB,Saint John,HIL-MIC,"Jan 1, 1853 - Dec 28, 1855 ",1853-01-01,1855-12-28,N,1853 - 1886,Y,"Variant title: Religious Intelligencer and Bible Society, Missionary, and Sabbath School Advocate. ",2x/week,Shares a reel with The Cariboo Courier.,,,1853,01/01/1853,31/12/1853,1886,01/01/1886,12/07/1888
240,Telegraph Journal (1992),Telegraph Journal (1992),Telegraph Journal,,240,N,1193-7661,,CA,NB,Saint John,HIL-MIC,"Nov 14, 1992 - Current ",1992-11-14,0000-00-00,N,"Nov 14, 1992 - Current ",Y,,Daily,"Current print copies can be found in HIL-CURREP, first floor, which are kept until the microfilm is received. ",,,14-Nov-92,14/11/1992,,Present,,
241,"Eastport Sentinel, and Passamaquody Advertiser","Eastport Sentinel, and Passamaquody Advertiser",Eastport Sentinel,,242,N,,,US,ME,Eastport,HIL-MIC,"1819 - Aug 17, 1822 ",1819-01-01,1822-08-17,N,"Aug 31, 1818 - Aug 17, 1822 ",N,,Weekly,,,,"Aug 31, 1818 ",31/08/1818,,"Aug 17, 1822",17/08/1822,
242,Eastport Sentinel,Eastport Sentinel,Eastport Sentinel,,242,N,,,US,ME,Eastport,HIL-MIC,"Aug 24, 1822 - Dec 1904",1822-08-24,1904-01-01,N,"Aug 24, 1822 - July 23, 1953",N,,Weekly,,,,"Aug 24, 1822 ",24/08/1822,,23-Jul-53,23/07/1953,
243,Saint John Citizen,Saint John Citizen,Daily Citizen,,243,N,0845-7077,,CA,NB,Saint John,HIL-MIC,"Jan 4, 1938 - Jan 6, 1939",1938-01-04,1939-01-06,N,"Jan 4, 1938 - Jan 6, 1939",N,,Daily,,,,04-Jan-38,04/01/1938,,06-Jan-39,06/01/1939,
244,Saint John Daily News (1871),Saint John Daily News (1871),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"Dec 13, 1871 - June 20, 1877",1871-12-13,1877-06-20,N,"Dec 13, 1871 - June 20, 1877",N,,Daily,,,,"Dec 13, 1871 ",13/12/1871,,"June 20, 1877",20/06/1877,
245,Christian Messenger,Christian Messenger,Christian Messenger ,,336,N,,,CA,NS,Halifax,HIL-MIC,"Jan 6, 1837 - Dec 31, 1884",1837-01-06,1884-12-31,N,"Jan 6, 1837 - Dec 31, 1884",Y,,Weekly,,,,"Jan 6, 1837 ",06/01/1837,,"Dec 31, 1884",31/12/1884,
246,Christian Visitor,Christian Visitor,Christian Visitor,,336,N,0847-7302,,CA,NB,Saint John,HIL-MIC,"Oct 20, 1847 - Dec 28, 1871; May 1, 1878 - Dec 31, 1884 ",1847-10-20,1884-12-31,Y,"Nov 24, 1847 - Dec 31, 1884 ",Y,,,,,,"Nov 24, 1847 ",24/11/1847,,"Dec 31, 1884",31/12/1884,
247,Messenger and Visitor,Messenger and Visitor,Messenger and Visitor,,336,N,0827-5130,,CA,NB,Saint John,HIL-MIC,"Jan 7, 1885 - Dec 27, 1905 ",1885-01-07,1905-12-27,N,"Jan 7, 1885 - Oct 25, 1905 ",Y,,Weekly,,,,"Jan 7, 1885 ",07/01/1885,,25-Oct-05,25/10/1905,
248,Saint John Globe,Saint John Globe,Saint John Globe,,252,N,0841-6230,,CA,NB,Saint John,HIL-MIC,"Sept 26, 1866 - Jan 15, 1927",1866-09-26,1927-01-15,N,"Sept 26, 1866 - Jan 15, 1927",Y,"Merged with the Evening Times-Star (not in our collection) to form the Evening Times-Globe (Saint John, NB).",Daily,,,,"Sept 26, 1866 ",26/09/1866,,15-Jan-27,15/01/1927,
249,Saint John Monitor,Saint John Monitor,Saint John Monitor,,249,N,,,CA,NB,Saint John,HIL-MIC,"[Oct 29, 1904 - Jan 11, 1913]",1904-10-29,1913-01-11,Y,1889 - 1914,N,,Weekly,,,,1889,01/01/1889,31/12/1889,1914,01/01/1914,12/07/1916
250,Le Nationaliste et le Devoir,Nationaliste et le Devoir,Le Devoir,,685,Y,,,CA,PQ,Montréal,HIL-MIC,"Sept 28, 1922 - Dec 31, 1935",1922-09-28,1935-12-31,N,,N,,,,,,,,,,,
251,Saint John News,Saint John News,Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"June 22, 1877 - July 5, 1877",1877-06-22,1877-07-05,N,"June 22, 1877 - July 5, 1877",N,,Daily,,,,"June 22, 1877 ",22/06/1877,,"July 5, 1877",05/07/1877,
252,Saint John Times Globe,Saint John Times Globe,"Evening Times Globe Oct. 16-31,1995; Saint John Times Globe Nov.1, 1995 - Nov.2001",,252,N,,,CA,NB,Saint John,HIL-MIC,"Oct 17, 1995 - Nov 2001 ",1995-10-17,2001-11-01,N,"Oct 17, 1995 - ?",Y,,Daily,,,,17-Oct-95,17/10/1995,,?,,
253,The Saturday Gazette,Saturday Gazette,Saturday Gazette,,253,N,,,CA,NB,Saint John,HIL-MIC,"[May 7, 1887 - Dec 24, 1888]",1887-05-07,1888-12-24,Y,"Apr 30, 1887 - July 28, 1888",N,,Weekly,,,,"Apr 30, 1887 ",30/04/1887,,"July 28, 1888",28/07/1888,
254,St. John Chronicle,St. John Chronicle,Weekly Chronicle (Saint John),,254,N,,,CA,NB,Saint John,HIL-MIC,"May 8, 1857 - Apr 1, 1859",1857-05-08,1859-04-01,N,"May 8, 1857 - 1860?",N,,Weekly,,,,"May 8, 1857 ",08/05/1857,,1860?,01/01/1860,12/07/1862
255,St. John Chronicle and Colonial Conservative,St. John Chronicle and Colonial Conservative,Weekly Chronicle (Saint John),,254,N,,,CA,NB,Saint John,HIL-MIC,"July 18, 1851 - Feb 22, 1856",1851-07-18,1856-02-22,N,"July 18, 1851 - Feb 22, 1856",N,,Weekly,,,,"July 18, 1851 ",18/07/1851,,"Feb 22, 1856",22/02/1856,
256,St. John Daily Sun,St. John Daily Sun,The Daily Sun,,240,N,,,CA,NB,Saint John,HIL-MIC,"June 2, 1887 - May 4, 1906",1887-06-02,1906-05-04,N,"June 2, 1887 - May 4, 1906",Y,,Daily,,,,"June 2, 1887 ",02/06/1887,,04-May-06,04/05/1906,
257,St. John Daily Telegraph and Morning Journal,St. John Daily Telegraph and Morning Journal,Daily Telegraph,,240,N,0837-3698,,CA,NB,Saint John,HIL-MIC,"July 1, 1869 - June 1871; Jan 1872 - Sept 6, 1873",1869-07-01,1873-09-06,Y,"July 1, 1869 - Sept 6, 1873",Y,,Daily,,,,"July 1, 1869 ",01/07/1869,,"Sept 6, 1873",06/09/1873,
258,St. John Morning News (1841),St. John Morning News (1841),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"Apr 26, 1841 - July 9, 1841",1841-04-26,1841-07-09,N,"Apr 26, 1841 - July 9, 1841",N,,Tri-weekly,,,,"Apr 26, 1841 ",26/04/1841,,"July 9, 1841",09/07/1841,
259,St. John Morning News and General Advertiser,St. John Morning News and General Advertiser,Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"July 12, 1841 - July 16, 1841",1841-07-12,1841-07-16,N,"July 12, 1841 - July 16, 1841",N,,Tri-weekly,,,,"July 12, 1841 ",12/07/1841,,"July 16, 1841",16/07/1841,
260,St. John Morning News and General Advertising Newspaper,St. John Morning News and General Advertising Newspaper,Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"July 19, 1841 - Apr 7, 1843",1841-07-19,1843-04-07,N,"July 19, 1841 - Apr 7, 1843",N,,Tri-weekly,,,,"July 19, 1841 ",19/07/1841,,"Apr 7, 1843",07/04/1843,
261,"St. John Morning News Devoted to News, Advertisements, Literature, Commerce and Humour","St. John Morning News Devoted to News, Advertisements, Literature, Commerce and Humour",Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"Sept 1, 1847 - Feb 9, 1848",1847-09-01,1848-02-09,N,"Sept 1, 1847 - Feb 9, 1848",N,,Tri-weekly,,,,"Sept 1, 1847 ",01/09/1847,,"Feb 9, 1848",09/02/1848,
262,St. John Morning Telegraph,St. John Morning Telegraph,"Daily Telegraph, reels 1-4a",,240,N,1181-4500,,CA,NB,Saint John,HIL-MIC,"Sept 18, 1866 - June 29, 1869 ",1866-09-18,1869-06-29,N,"Sept 18, 1866 - June 29, 1869 ",Y,,Weekly,,,,"Sept 18, 1866 ",18/09/1866,,"June 29, 1869",29/06/1869,
263,St. John Standard,St. John Standard,St. Johns Standard,,240,N,1181-5523,,CA,NB,Saint John,HIL-MIC,"Aug 7, 1912 - June 24, 1922  ",1912-08-07,1922-06-24,N,"Aug 7, 1912 - June 24, 1922  ",Y,"The Daily Journal, which is the succeeding title to the St. John Standard is not a part of our collection; however, it goes on to merge with The Daily Telegraph and The Sun (Saint John, New Brunswick) to form the Telegraph Journal (Saint John, New Brunswick).",Daily,,,,07-Aug-12,07/08/1912,,24-Jun-22,24/06/1922,
264,Le Devoir du Dimanche ,Devoir du Dimanche ,Le Devoir,,685,Y,,,CA,PQ,Montréal,HIL-MIC,July 23 - Oct 1955,1955-07-23,1955-10-01,N,,N,,,,,,,,,,,
265,Le Foyer,Foyer,Le Devoir,,685,Y,,,CA,PQ,Montréal,HIL-MIC,"May 14 - July 16, 1955",1955-05-14,1955-07-16,N,,N,,,,,,,,,,,
266,"Standard (Saint John, New Brunswick)","Standard (Saint John, New Brunswick)",St. Johns Standard,,240,N,1181-5515,,CA,NB,Saint John,HIL-MIC,"Mar 25, 1909 - Aug 6, 1912",1909-03-25,1912-08-06,N,"Mar 25, 1909 - Aug 6, 1912",Y,,Daily,,,,25-Mar-09,25/03/1909,,06-Aug-12,06/08/1912,
267,St. John Star,St. John Star,St. John Star,,267,N,,,CA,NB,Saint John,HIL-MIC,Feb 1901 - Dec 1903 ,1901-02-01,1903-12-01,N,"Sept 10, 1900 - Mar 12, 1906 ",N,,Daily,"The Star and New Brunswick Literary, Political, and Commercial Advertiser (Saint John, New Brunswick) and The Star (Saint John, New Brunswick) are both filmed on the same reel as the St. John Star; however, they are unrelated titles and not a part of each others publication histories. ",,,10-Sep-00,10/09/1900,,12-Mar-06,12/03/1906,
268,"The Sun (Saint John, New Brunswick)","Sun (Saint John, New Brunswick)",The Daily Sun,,240,N,,,CA,NB,Saint John,HIL-MIC,"May 5, 1906 - Mar 12, 1910",1906-05-05,1910-03-12,N,"May 5, 1906 - Mar 12, 1910",Y,,Daily,,,,05-May-06,05/05/1906,,12-Mar-10,12/03/1910,
269,Telegraph Journal (1923),Telegraph Journal (1923),Telegraph Journal,,240,N,0837-3736,,CA,NB,Saint John,HIL-MIC,"July 2, 1924 - Nov 6, 1989",1924-07-02,1989-11-06,N,"July 16, 1923 - Nov 6, 1989",Y,"The Telegraph Journal was formed by the union of The Daily Journal (not in our collection) and the Daily Telegraph and Sun (Saint John, New Brunswick).",Daily,,,,16-Jul-23,16/07/1923,,06-Nov-89,06/11/1989,
270,The True Humorist,True Humorist,New Dominion and True Humorist,,234,N,,,CA,NB,Saint John,HIL-MIC,"Oct 13, 1864 - June 22, 1867",1864-10-13,1867-06-22,N,"Oct 8?, 1864 - June 22, 1867",N,,Weekly,,,,"Oct 8?, 1864 ",08/10/1864,,"June 22, 1867",22/06/1867,
271,"Union Worker (Saint John, New Brunswick)","Union Worker (Saint John, New Brunswick)",,HD8102 .S92,177,N,,,CA,NB,Saint John,HIL-MIC,Feb 1920 - Aug 1921,1920-02-01,1921-08-01,N,Feb 1920 - Aug 1921,N,,,,,,Feb-20,01/02/1920,29/02/1920,Aug-21,01/08/1921,31/08/1921
272,Watchman,Watchman,Watchman,,272,N,,,CA,NB,Saint John,HIL-MIC,"May 1, 1875 - June 9, 1877",1875-05-01,1877-06-09,N,"May 1, 1875 - June 9, 1877",N,,Weekly,,,,"May 1, 1875 ",01/05/1875,,"June 9, 1877",09/06/1877,
273,"Weekly Chronicle (Saint John, New Brunswick : 1836)","Weekly Chronicle (Saint John, New Brunswick : 1836)",Weekly Chronicle (Saint John),,254,N,,,CA,NB,Saint John,HIL-MIC,"Sept 9, 1836 - July 11, 1851",1836-09-09,1851-07-11,N,"Sept 9, 1836 - July 11, 1851",N,,Weekly,,,,"Sept 9, 1836 ",09/09/1836,,"July 11, 1851",11/07/1851,
274,Weekly Telegraph,Weekly Telegraph,"Daily Telegraph, reel 1",,274,N,,,CA,NB,Saint John,HIL-MIC,"Sept 27, 1862 - Dec 31, 1863",1862-09-27,1863-12-31,N,"Sept 27, 1862 - 1897 ",N,,Weekly,This newspaper is not a part of the publishing history of the Telegraph Journal. ,,,"Sept 27, 1862 ",27/09/1862,,1897,01/01/1897,12/07/1899
275,Le Moniteur Acadien,Moniteur Acadien,Moniteur Acadien,,275,N,1486-6927,,CA,NB,Shediac,HIL-MIC,"July 8, 1867 - Jan 14, 1926",1867-07-08,1926-01-14,N,"July 8, 1867 - Jan 14, 1926",N,,Weekly,"Publication of this paper resumes in Jan. 1989; however, we do not have any papers after 1926.",,,"July 8, 1867 ",08/07/1867,,14-Jan-26,14/01/1926,
276,Bay Pilot,Bay Pilot,Bay Pilot,,276,N,,,CA,NB,St. Andrews,HIL-MIC,"May 9, 1878 - Mar 21, 1889",1878-05-09,1889-03-21,N,"May 2, 1878 - Mar 21, 1889",N,,Weekly,,,,"May 2, 1878 ",02/05/1878,,"Mar 21, 1889",21/03/1889,
277,The New-Brunswick Standard and St. Andrews Commercial Gazette,New-Brunswick Standard and St. Andrews Commercial Gazette,The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Sept 10, 1833 - Sept 18, 1834",1833-09-10,1834-09-18,N,"Sept 10, 1833 - Sept 18, 1834",N,,Weekly,,,,"Sept 10, 1833 ",10/09/1833,,"Sept 18, 1834",18/09/1834,
278,Saint Andrews Herald,Saint Andrews Herald,St. Andrews Herald,,278,N,,,CA,NB,St. Andrews,HIL-MIC,"Feb 15, 1826",1826-02-15,1826-02-15,N,1825 - ?,N,,Weekly,,,,1825,01/01/1825,31/12/1825,?,,
279,Saint Andrews Herald and Commercial Advertiser,Saint Andrews Herald and Commercial Advertiser,St. Andrews Herald,,278,N,,,CA,NB,St. Andrews,HIL-MIC,"[Aug 1, 1820 - Apr 2, 1822]",1820-08-01,1822-04-02,Y,1819? - 1825?,N,,Weekly,,,,1819? ,01/01/1819,31/12/1819,1825?,01/01/1825,12/07/1827
280,St. Andrews Herald,St. Andrews Herald,St. Andrews Herald,,278,N,,,CA,NB,St. Andrews,HIL-MIC,"Feb 21, 1825",1825-02-21,1825-02-21,N,1825?,N,,Weekly,,,,1825?,01/01/1825,31/12/1825,,,
281,St. Andrews Standard,St. Andrews Standard,The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Sept 10, 1856 - July 21, 1880",1856-09-10,1880-07-21,N,"Sept 10, 1856 - July 21, 1880",N,,,,,,"Sept 10, 1856 ",10/09/1856,,"July 21, 1880",21/07/1880,
282,"St. Andrews Standard, New-Brunswick","St. Andrews Standard, New-Brunswick",The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Sept 25, 1834 - Dec 30, 1837",1834-09-25,1837-12-30,N,"Sept 25, 1834 - Dec 30, 1837",N,,Weekly,,,,"Sept 25, 1834 ",25/09/1834,,"Dec 30, 1837",30/12/1837,
283,"The Standard (Saint Andrews, New Brunswick)","Standard (Saint Andrews, New Brunswick)",The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"July 1-July 8, 1848",1848-07-01,1848-07-08,N,"July 1-July 8, 1848",N,,,,,,01-Jul,01/07/1848,,"July 8, 1848",08/07/1848,
284,The Standard or Frontier Agricultural and Commercial Gazette,Standard or Frontier Agricultural and Commercial Gazette,The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Feb 26, 1845 - June 28, 1848",1845-02-26,1848-06-28,N,"Feb 26, 1845 - June 28, 1848",N,,,,,,"Feb 26, 1845 ",26/02/1845,,"June 28, 1848",28/06/1848,
285,The Standard or Frontier Gazette,Standard or Frontier Gazette,The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Apr 17, 1840 - Feb 19, 1845",1840-04-17,1845-02-19,N,"Apr 17, 1840 - Feb 19, 1845",N,,Weekly,,,,"Apr 17, 1840 ",17/04/1840,,"Feb 19, 1845",19/02/1845,
286,The Standard or Railway and Commercial Record,Standard or Railway and Commercial Record,The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"July 12, 1848 - Sept 3, 1856",1848-07-12,1856-09-03,N,"July 12, 1848 - Sept 3, 1856",N,,,,,,"July 12, 1848 ",12/07/1848,,"Sept 3, 1856",03/09/1856,
287,"The Standard, New Brunswick","Standard, New Brunswick",The Standard,,281,N,,,CA,NB,St. Andrews,HIL-MIC,"Jan 6, 1838 - Apr 4, 1840",1838-01-06,1840-04-04,N,"Jan 6, 1838 - Apr 4, 1840",N,,Weekly,,,,"Jan 6, 1838 ",06/01/1838,,"Apr 4, 1840",04/04/1840,
288,Saint Croix Courier (1877),Saint Croix Courier (1877),Saint Croix Courier,,288,N,0841-9000,,CA,NB,St. Stephen,HIL-MIC,"Oct 18, 1877 - Dec 28, 2004",1877-10-18,2004-12-28,N,"Oct 18, 1877 - Current",N,,Weekly,,,,"Oct 18, 1877 ",18/10/1877,,Present,,
289,Courier Weekend,Courier Weekend,Courier Weekend,,288,Y,0707-4905,,CA,NB,St. Stephen,HIL-MIC,"Mar 4, 1978 - Aug 27, 2004",1978-03-04,2004-08-27,N,"Mar 4, 1978 - Current",N,Weekend Edition of the Saint Croix Courier.,Weekly,,,,04-Mar-78,04/03/1978,,Present,,
290,Provincial Patriot and St. Stephen's Banner,Provincial Patriot and St. Stephen's Banner,Provincial Patriot,,290,N,,,CA,NB,St. Stephen,HIL-MIC,"May 27, 1853 - May 19, 1854",1853-05-27,1854-05-19,N,"May 27, 1853 - 1860 ",N,,,,,,"May 27, 1853 ",27/05/1853,,1860,01/01/1860,12/07/1862
291,Saint Croix Courier (1865),Saint Croix Courier (1865),Saint Croix Courier,,288,N,0841-8977,,CA,NB,St. Stephen,HIL-MIC,"Oct 14, 1865 - July 5, 1877",1865-10-14,1877-07-05,N,"Oct 14, 1865 - July 5, 1877",N,,Weekly,,,,"Oct 14, 1865 ",14/10/1865,,"July 5, 1877",05/07/1877,
292,Saint Croix Courier and Saint Stephen Journal,Saint Croix Courier and Saint Stephen Journal,Saint Croix Courier,,288,N,0841-8993,,CA,NB,St. Stephen,HIL-MIC,"July 12, 1877 - Oct 11, 1877",1877-07-12,1877-10-11,N,"July 12, 1877 - Oct 11, 1877",N,,Weekly,,,,"July 12, 1877 ",12/07/1877,,"Oct 11, 1877",11/10/1877,
293,The St. Stephen Journal,St. Stephen Journal,Saint Croix Courier,,288,N,0841-8985,,CA,NB,St. Stephen,HIL-MIC,"July 11, 1877",1877-07-11,1877-07-11,N,"Nov 6, 1872 - July 11, 1877",N,,Weekly,"Filmed before the July 12, 1877 edition of the Saint Croix Courier and Saint Stephen Journal.",,,"Nov 6, 1872 ",06/11/1872,,"July 11, 1877",11/07/1877,
294,Kings County Record,Kings County Record,Kings County Record,,294,N,0834-7395,,CA,NB,Sussex,HIL-MIC,"Aug 16, 1901 - Dec 28, 2004 ",1901-08-16,2004-12-28,N,"Aug 16, 1901 - Current",N,,Weekly,,,,16-Aug-01,16/08/1901,,Present,,
295,Weekly Record,Weekly Record,Kings County Record,,294,N,0841-8845,,CA,NB,Sussex,HIL-MIC,"Sept 9, 1887 - Aug 9, 1901",1887-09-09,1901-08-09,N,"Sept 9, 1887 - Aug 9, 1901",N,,Weekly,,,,"Sept 9, 1887 ",09/09/1887,,09-Aug-01,09/08/1901,
296,The Bugle (1977),Bugle (1977),Bugle,,296,N,,,CA,NB,Woodstock,HIL-MIC,"Feb 2, 1977 - Dec 31, 1985",1977-02-02,1985-12-31,N,"Feb 2, 1977 - Current",N,,Weekly,,,,02-Feb-77,02/02/1977,,Present,,
297,"Weekly Chronicle (Saint John, New Brunswick : 1856)","Weekly Chronicle (Saint John, New Brunswick : 1856)",Weekly Chronicle (Saint John),,254,N,,,CA,NB,Saint John,HIL-MIC,"Feb 29, 1856 - May 1, 1857",1856-02-29,1857-05-01,N,"Feb 29, 1856 - May 1, 1857",N,,Weekly,,,,"Feb 29, 1856 ",29/02/1856,,"May 1, 1857",01/05/1857,
298,The Bugle (1963),Bugle (1967),Bugle,,296,N,,,CA,NB,Woodstock,HIL-MIC,"Mar 16, 1967 - June 26, 1969",1967-03-16,1969-06-26,N,"Oct 24, 1963 - June 26, 1972",N,"The Bugle (1963) merges with The Times (Florenceville, New Brunswick) and The Perth-Andover Gazette - neither of which are in our collection - to form the Bugle-Gazette Times. ",Weekly,,,,24-Oct-63,24/10/1963,,26-Jun-72,26/06/1972,
299,The Bugle-Gazette Times,Bugle-Gazette Times,Bugle,,296,N,,,CA,NB,Woodstock,HIL-MIC,"July 3, 1969 - Dec 28, 1972",1969-07-03,1972-12-28,N,"July 3, 1969 - Dec 28, 1972",N,"The Bugle-Gazette Times was formed by the union of The Bugle (1963) and two other papers which are not in our collection: The Times (Florenceville, New Brunswick) and The Perth-Andover Gazette.",Weekly,,,,03-Jul-69,03/07/1969,,28-Dec-72,28/12/1972,
300,Carleton Sentinel,Carleton Sentinel,Carleton Sentinel,,303,N,0841-8942,,CA,NB,Woodstock,HIL-MIC,"Mar 6, 1849 - Mar 24, 1943",1849-03-06,1943-03-24,N,"June 1848 - Mar 17, 1943",Y,,Weekly,,,,June 1848 ,01/06/1848,30/06/1848,17-Mar-43,17/03/1943,
301,Dispatch,Dispatch,Dispatch,,301,N,0841-8837,,CA,NB,Woodstock,HIL-MIC,"June 6, 1894 - Sept 11, 1918",1894-06-06,1918-09-11,N,"June 6, 1894 - Sept 11, 1918",N,,Weekly,,,,"June 6, 1894 ",06/06/1894,,11-Sep-18,11/09/1918,
302,The Press,Press,Press,,303,N,0841-8926,,CA,NB,Woodstock,HIL-MIC,"Feb 9, 1896 - Mar 17, 1943",1896-02-09,1943-03-17,N,"Feb 9, 1896 - Mar 17, 1943",Y,,,,,,"Feb 9, 1896 ",09/02/1896,,17-Mar-43,17/03/1943,
303,Sentinel-Press,Sentinel-Press,"Carleton Sentinel Mar 24, 1943; Sentinel-Press Mar 30, 1943 - June 10, 1971",,303,N,0842-0912,,CA,NB,Woodstock,HIL-MIC,"Mar 24, 1943 - June 10, 1971",1943-03-30,1971-06-10,N,"Mar 24, 1943 - June 10, 1971",Y,,Weekly,,,,24-Mar-43,24/03/1943,,10-Jun-71,10/06/1971,
304,The Woodstock Bugle,Woodstock Bugle,Bugle,,296,N,,,CA,NB,Woodstock,HIL-MIC,"Jan 3, 1973 - Jan 26, 1977",1973-01-03,1977-01-26,N,"Jan 3, 1973 - Jan 26, 1977",N,,Weekly,,,,03-Jan-73,03/01/1973,,26-Jan-77,26/01/1977,
305,Woodstock Journal,Woodstock Journal,Woodstock Journal,,305,N,0839-7856,,CA,NB,Woodstock,HIL-MIC,"[Jan 6, 1859 - Jan 9, 1862]",1859-01-06,1862-01-09,Y,May 1854 - May 1864?,N,,Weekly,,,,May 1854 ,01/05/1854,31/05/1854,May 1864?,01/05/1864,31/05/1864
306,Woodstock Press,Woodstock Press,Press,,303,N,0841-8918,,CA,NB,Woodstock,HIL-MIC,"Nov 18, 1881 - Feb 2, 1896 ",1881-11-18,1896-02-02,N,"Dec 18?, 1880 - Feb 2, 1896 ",Y,,,,,,"Dec 18?, 1880 ",18/12/1880,,"Feb 2, 1896",02/02/1896,
307,"Fisherman's Advocate (St. John's, Newfoundland : 1910)","Fisherman's Advocate (St. John's, Newfoundland : 1910)",,HD8101 .F573,483,Y,,,CA,NL,St. John's,HIL-MIC,"Mar 26, 1910 - Apr 25, 1914",1910-03-26,1914-04-25,N,"Mar 26, 1910 - Apr 25, 1914",N,,Weekly,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,26-Mar-10,26/03/1910,,25-Apr-14,25/04/1914,
308,Carbonear Herald and Output Telephone,Carbonear Herald and Output Telephone,Carbonear Herald,,309,N,0832-3984,,CA,NL,Carbonear,HIL-MIC,"May 22, 1879 - Feb 22, 1882",1879-05-22,1882-02-22,N,"May 22, 1879 - Feb 22, 1882",N,,Weekly,,,,"May 22, 1879 ",22/05/1879,,"Feb 22, 1882",22/02/1882,
309,Carbonear Herald and Railroad Journal,Carbonear Herald and Railroad Journal,Carbonear Herald,,309,N,0832-3992,,CA,NL,Carbonear,HIL-MIC,"Mar 17, 1882 - Aug 26, 1882",1882-03-17,1882-08-26,N,"Mar 17, 1882 - Aug 26, 1882",N,,Semi-weekly,,,,"Mar 17, 1882 ",17/03/1882,,"Aug 26, 1882",26/08/1882,
310,Western Star,Western Star,Western Star,,310,N,0839-3664,,CA,NL,Corner Brook,HIL-MIC,"[Apr 24, 1907 - Dec 31, 1982]",1907-04-24,1982-12-31,Y,"Apr 4, 1900 - Current",N,,,,,,04-Apr-00,04/04/1900,,Present,,
311,Grand Falls Advertiser,Grand Falls Advertiser,Grand Falls Advertiser,,311,N,0833-1014,,CA,NL,Grand Falls,HIL-MIC,"Apr 8, 1936; Jan 8, 1937 - Oct 30, 1980",1936-04-08,1980-10-30,Y,"Apr 8, 1936 - Current",N,Variant title: Advertiser.,Semi-monthly 1936-1937; Weekly 1937-1961; Semi-weekly 1961-1990,,,,08-Apr-36,08/04/1936,,Present,,
312,Standard and Conception- Bay Advertiser,Standard and Conception- Bay Advertiser,Harbour Grace Standard,,314,N,,,CA,NL,Harbour Grace,HIL-MIC,"[Dec 7, 1859 - Dec 25, 1867]",1859-12-07,1867-12-25,Y,"Dec 7, 1859 - Dec 25, 1867",N,,Weekly,,,,"Dec 7, 1859 ",07/12/1859,,"Dec 25, 1867",25/12/1867,
