"ID","Title","Place","Interval","Start Day","Start Month","Start Year","End Day","End Month","End Year","Dates Questionable","continuesFrom","continuedBy","mergedWith","toForm","absorbedBy","Harper #","Note"
536,"Semi Weekly Sun","Saint John","2/weekly",,,1898,17,11,1906,"Yes","Saint John Weekly Sun","The News",,,,382,"Microfilmed by: The British Library 2 reels.\nWeekly Saturday edition of the ""Saint John Globe""."
538,"Semi Weekly Telegraph and News","Saint John","2/weekly",,3,1910,,,1925,"Yes","The News,Semi Weekly Telegraph and News",,,,,,
540,"Sporting News","Saint John","weekly",24,7,1910,,,,,,,,,,372,
631,"St. Andrews Beacon","St. Andrews","weekly",,5,1889,30,4,1896,,"Bay Pilot","The Beacon",,,,194,
632,"St. Andrews Courant","St. Andrews","weekly",,5,1831,,,1844,"Yes",,,,,,195,
630,"St. Andrews Watchman","St. Andrews","weekly",,,1833,,,,"Yes",,,,,,197,
659,"St. Croix Herald","St. Stephen","weekly",,,1857,,,1864,,,,,,,435,
642,"St. George News","St. George","unknown",,,1905,,,1907,"Yes",,"The Granite Town Greetings",,,,2,
541,"St. John Advertiser","Saint John","monthly",,,1869,,,1871,,,,,,,353,
542,"St. John Business Man's Friend","Saint John","unknown",,7,1861,,,,,,,,,,,
543,"St. John Centennial Advertiser","Saint John","unknown",,10,1883,,12,1883,,,,,,,354,
549,"St. John Free Press","Saint John","weekly",7,12,1853,,,1854,,,,,,,357,
550,"St. John Liberator and Irish Advocate","Saint John","weekly",,,1843,,,1847,"Yes",,,,,,359,
556,"St. John Saturday Night","Saint John","weekly",22,12,1923,22,3,1924,"Yes",,,,,,366,
565,"Statesman or New Brunswick Palladium","Saint John","weekly",,,1838,,,,,,,,,,38,
620,"Stella Maris","Shippagan","irregular",,12,1960,,3,1970,,,,,,,,
567,"Sunday Herald","Saint John","weekly",9,2,1986,6,7,1986,,,"New Brunswick Sunday Herald",,,,,
268,"Superfront","Moncton","unknown",24,9,1979,15,10,1979,,"Le Front","Le Medium",,,,,"Student newspaper of the Université de Moncton"
668,"Sussex Banner","Sussex","weekly",,10,1861,,,,"Yes",,,,,,446,
669,"Sussex Times","Sussex","weekly",8,3,1860,21,6,1860,,,,,,,447,
670,"Sussex Valley Register","Sussex","weekly",8,10,1980,,,,,,,,,,,
568,"Telegram (Saint John, New Brunswick: 1841)","Saint John","weekly",,3,1841,,,,"Yes",,,,,,385,"This could be ""The Telegraph""."
569,"Telegraph a Family Journal","Saint John","weekly",,,1849,,,1850,"Yes","The Telegraph or Temperance Organ","Temperance Telegraph and Organ of the Sons of Temperance",,,,389,
688,"Temperance Advocate","Woodstock","weekly",4,10,1853,,,1855,"Yes",,,,,,456,
572,"Temperance Banner","Saint John","weekly",,6,1861,,,1862,,,,,,,386,
573,"Temperance Reformer and Telegraph","Saint John","weekly",,1,1861,,6,1861,"Yes","Temperance Telegraph",,,,,388,
67,"Temperance Telegraph (Chatham, New Brunswick: 1854)","Chatham","unknown",24,1,1854,,12,,,,,,,,37,"Harper indicates prospectus published."
575,"Temperance Telegraph and Organ of the Sons of Temperance (1851)","Saint John","weekly",,4,1851,,,1856,"Yes","Telegraph a Family Journal","Temperance Telegraph and Prohibitory Law Advocate",,,,389,
576,"Temperance Telegraph and Prohibitory Law Advocate (1856)","Saint John","weekly",,,1856,,3,1860,"Yes","Temperance Telegraph and Organ of the Sons of Temperance","Temperance Telegraph",,,,389,
164,"Ten Penny","Fredericton","monthly",,7,1971,,8,1971,,,,,,,,
14,"The Advertiser","Blackville","weekly",,,1905,,,1906,"Yes",,,,,,,
97,"The Agriculturist","Fredericton","weekly",13,4,1878,6,9,1879,,,"The Maritime Farmer",,,,55,"Probably replaced ""Colonial Farmer""."
325,"The Argosy","Sackville","weekly",,9,1876,,,,,"Eurhetorian Argosy",,,,,17,
347,"The Baron / UNBSJ campus news","Saint John","irregular",25,9,1987,,,,,"Tucker Park Press",,,,,,
622,"The Beacon","St. Andrews","weekly",1,5,1896,,,1919,"Yes","St. Andrews Beacon",,,,,194,
103,"The Bee (Fredericton, New Brunswick: 1878)","Fredericton","weekly",22,11,1878,,,1879,"Yes",,,,,,59,
348,"The Bee and Commercial Advertiser (Saint John, New Brunswick: 1849)","Saint John","2/weekly",,5,1849,,,,,"Saint John Herald",,,,,212,
352,"The British Colonist and New Brunswick Commercial Reporter","Saint John","weekly",,9,1828,,12,1835,,"British Colonist","The British Colonist and Mechanics' and Traders' Advocate",,,,214,
353,"The British Constitution Devoted to Protestantism, Literature, and Protection to Home Industry","Saint John","weekly",17,8,1853,,,1859,,,"British Constitution and Weekly Globe",,,"Morning Globe",215,"Publication suspended briefly in 1856"
663,"The Campfire Journal","Sugar Island","unknown",,,1985,,,,,,,,,,,
196,"The Carleton Times","Hartland","weekly",5,6,1985,4,12,1985,,,,,,,,
370,"The Citizen (1985)","Saint John","weekly",6,3,1985,,,1988,,,"The Weekly Citizen",,,,,
374,"The City Guide or Saint John Advertising Directory","Saint John","unknown",,1,1851,,,,"Yes",,,,,,,
323,"The Clarion","Rogersville","unknown",,,1934,,,,"Yes",,,,,,,
665,"The Co operative Farmer and Maritime Dairyman","Sussex","2/monthly",25,9,1895,21,5,1901,,,"The Maritime Farmer and Co operative Dairyman",,,,444,
39,"The Colonial Times and Miramichi Educational Commercial and Literary Gazette","Chatham","unknown",,7,1858,,,1859,"Yes",,,,,,21,
40,"The Colonial Times and Miramichi Weekly Gazette","Chatham","weekly",29,8,1856,,,1865,"Yes",,,,,,21,
110,"The Commercial Advertiser and Fredericton Business-Man's Friend","Fredericton","unknown",,6,1862,,,,"Yes",,,,,,67,
111,"The Conservative","Fredericton","weekly",,,1835,,,,,,,,,,,"See ""Fredericton Newspapers and Their Times"", James A. Neville."
392,"The Daily Standard","Saint John","daily",8,12,1886,24,3,1909,,"Standard","Standard",,,,377,
408,"The Evening Gazette","Saint John","daily",23,7,1888,7,8,1893,,"The Saturday Gazette","The Gazette",,,,,
411,"The Evening Telegraph","Saint John","unknown",,,1863,,,1880,,,,,,,383,"Evening edition of ""Daily Telegraph""."
412,"The Evening Times","Saint John","daily",9,2,1905,12,3,1910,,"The St. John Evening Times","Evening Times and Star",,,"The Star",,
117,"The Express","Fredericton","weekly",,,1863,,,,,,,,,,71,"See ""Fredericton Newspapers and Their Times"" by James L. Neville, p.13."
227,"The Family Record","Moncton","weekly",19,5,1894,,,1894,"Yes",,,,,,,
211,"The Fortnighter","McAdam","2/monthly",,,1970,,,,"Yes",,,,,,,
231,"The Freeman (Moncton, New Brunswick: 1898)","Moncton","weekly",6,1,1898,27,12,,,,,,,,,"The following reference appeared in The Daily Transcript Mar 26, 1898, p4, col 1. - ""A new weekly paper called The Freeman made its bow to the public this morning"".  ""It is an eight page paper, typography neat and presenting a good supply of local news of local news of interest and encouraging advertising patronage. This paper is independent and will confine itself principally to topics of local concern."""
423,"The Gazette (Saint John, New Brunswick)","Saint John","daily",8,8,1893,9,30,1904,,"The Evening Gazette","The St. John Evening Times",,,,263,"Gazette Publishing Company sold to Francis C. Cooper who suspended publication and replaced ""The Gazette"" with ""The St. John Evening Times""."
75,"The Gem Press","Doaktown","weekly",,,1914,,,,"Yes",,,,,,,"Editor - Parker, Thomas"
130,"The Gleaner (1881)","Fredericton","2/weekly",17,1,1881,,,,,,,,,,78,
3,"The Gospel Standard","Bath","monthly",,,,,,1932,"Yes",,,,,,,"Only reference is in newspaper obituary of Rev. G.A. Giberson, 1932. [Source unknown]."
188,"The Grand Falls Observer","Grand Falls (Grand Sault)","weekly",17,5,1923,,,,"Yes",,,,,,,
641,"The Granite Town Greetings","St. George","weekly",,,1907,,,1913,,"St. George News",,,,,,
194,"The Harcourt Advertiser","Harcourt","weekly",,6,1894,,,,"Yes",,,,,,,"Prospectus published in ""Union Advocate"", May 30, 1894."
430,"The Herald of Truth","Saint John","weekly",29,7,1843,,,,,,,,,,,"PANB MC239"
437,"The Investigator","Saint John","weekly",17,9,1858,,7,1859,,"The Investigator and Indiantown and Portland Advocate",,,,,277,
438,"The Investigator and Indiantown and Portland Advocate","Saint John","weekly",11,6,1858,27,8,1858,"Yes",,"The Investigator",,,,,
90,"The Kennebecasis Valley Post","Fairvale","varies",12,2,1979,19,6,1981,,,,,,,,
447,"The Liberal News (1904)","Saint John","daily",24,10,1904,4,11,1904,"Yes",,,,,,287,
83,"The Madawaska Review","Edmundston","weekly",,,1929,,,,"Yes",,,,,,,
2,"The Maple Leaf","Albert","weekly",,,1879,28,2,1901,,,,,,,126,
667,"The Maritime Farmer and Co operative Dairyman","Sussex","2/monthly",4,6,1901,16,1,1979,,"The Co operative Farmer and Maritime Dairyman",,,,,,
247,"The Moncton Dispatch","Moncton","2/weekly",,,1879,,,,"Yes",,,,,,,
248,"The Moncton Free Press","Moncton","weekly",8,4,1970,18,8,1971,,,,,,,,
144,"The New Brunswick Anglican","Fredericton","monthly",,1,1977,,10,1851,,,,,,,,"Incorporates The Diocesan News"
481,"The New Brunswicker (1849)","Saint John","3/weekly",,,1849,,4,1863,"Yes","The New Brunswicker: or Colonial and Foreign Gazetteer",,,,,311,
482,"The New Brunswicker: or Colonial and Foreign Gazetteer (1841)","Saint John","2/weekly",15,7,1841,,,1849,,,"The New Brunswicker",,,,311,"See also ""Weekly New Brunswicker""."
488,"The News","Saint John","weekly",,,1906,,,1910,"Yes","Semi Weekly Sun",,"Semi Weekly Telegraph","Semi Weekly Telegraph and News",,382,"Microfilmed by: British Library. London 1907 Ma 17 1910 Mr 11\nSee also ""The Sun""."
24,"The Northern Enterprise","Campbellton","weekly",,4,1893,,,1898,"Yes",,,,,,16,
311,"The Nucleus, Project Paper of the Point Lepreau Generating Station","Point Lepreau","unknown",24,2,1978,8,2,1983,,,,,,,,
490,"The Observer and Literary Gazette","Saint John","weekly",,1,1856,13,12,1856,,"Saint John Observer",,,,,328,
301,"The Perth-Andover Gazette","Perth-Andover","weekly",9,11,1967,26,6,1969,"Yes",,,"Dispatch,The Times","The Bugle Gazette Times",,,
256,"The Pilot","Moncton","monthly",,,1932,,,,,,,,,,,"Official organ of Cooperative Commonwealth Federation, New Brunswick section\nDates are questionable."
257,"The Plain Dealer","Moncton","weekly",,,1892,,,1893,"Yes",,,,,,,
497,"The Provincial Home Journal Devoted to the Cause of Temperance and General Literature","Saint John","weekly",,11,1864,26,1,1865,,,"Home Journal",,,,,
26,"The Restigouche Telephone","Campbellton","2/weekly",8,4,1897,,,1901,"Yes",,,,,,1,
91,"The Review and Labour News","Fairvale","unknown",21,8,1907,,,,"Yes",,,,,,,
180,"The River Valley News","Grand Bay","varies",,4,1986,,,,,,,,,,,
318,"The Riverview Recorder","Riverview","weekly",28,12,1958,27,6,1959,"Yes",,,,,,,
156,"The Royal Gazette - La Gazette royale (1977)","Fredericton","weekly",29,6,1977,,,,,"The Royal Gazette",,,,,95,
89,"The Rural Report (Elgin, New Brunswick: 1982)","Elgin","monthly",,9,1982,,8,1988,,,"The Rural Report",,,,,
264,"The Rural Report (Moncton, New Brunswick: 1988)","Moncton","monthly",15,9,1988,,12,1990,,"The Rural Report",,,,,,
520,"The Saint John Mail and Commercial Advertiser","Saint John","3/weekly",,12,1847,,,1848,,,,,,,36,
265,"The Semi-Weekly Times","Moncton","2/weekly",,,1918,,,1930,"Yes","The Weekly Times",,,,,146,
266,"The Semi-Weekly Transcript","Moncton","2/weekly",,,,,,1931,"Yes","Weekly Transcript",,,,,147,
267,"The Senior Citizen","Moncton","unknown",,7,1979,,,,,,,,,,,
539,"The SJ Viewpoint","Saint John","irregular",4,9,1984,15,2,1985,,"The Viewpoint","Tucker Park Press",,,,,"Sub-title: University of New Brunswick in Saint John Campus News."
548,"The St. John Evening Times","Saint John","daily",1,10,1904,7,2,1905,,"The Gazette","The Evening Times",,,,396,
559,"The St. John Weekly Freeman","Saint John","weekly",6,9,1878,2,8,1884,"Yes","Weekly Freeman,The Morning Freeman",,,,,259,"Title varies - may from time to time have been published as ""Weekly Freeman"".\nFrom 1851 - 1878 both a weekly and a tri-weekly version ""The Morning Freeman"" were published"
561,"The Standard and New Brunswick Farmer","Saint John","varies",,3,1909,28,11,1921,,,,,,,377,
563,"The Star (Saint John, New Brunswick: 1906)","Saint John","daily",,7,1906,12,3,1910,"Yes","St. John Star",,,,"The Evening Times",378,
161,"The Sun (Fredericton, New Brunswick: 1978)","Fredericton","weekly",5,5,1978,12,3,1978,,,,,,,,
570,"The Telegraph or Temperance Organ (1848)","Saint John","weekly",,,1848,,,1849,"Yes","Temperance Telegraph","Telegraph a Family Journal",,,,389,
93,"The Times (Florenceville, New Brunswick: 1969)","Florenceville","weekly",,4,1969,,,1969,,,,"The Bugle","The Bugle Gazette Times",,,
165,"The Times (Fredericton, New Brunswick: 1851)","Fredericton","weekly",10,12,1851,,,,"Yes",,,,,,,
269,"The Times (Moncton, New Brunswick: 1868)","Moncton","weekly",10,3,1868,,,1879,"Yes","The Weekly Times",,,,,146,
579,"The Times (Saint John, New Brunswick: 1860)","Saint John","weekly",,,1860,,,,"Yes",,,,,,391,
689,"The Times (Woodstock, New Brunswick: 1837)","Woodstock","weekly",,7,1837,,3,1841,"Yes",,,,,,457,
270,"The Times and Westmorland  and Albert Local News Journal","Moncton","weekly",,12,1868,,8,1877,,,"Daily Times",,,,146,
690,"The Union","Woodstock","unknown",,,1865,,,1866,,,,,,,,
168,"The United Empire","Fredericton","2/weekly",30,5,1854,,8,1854,"Yes",,,,,,1,
17,"The Valley Banner","Cambridge","2/weekly",,11,1951,,7,1957,,,,,,,9,
588,"The Viewpoint","Saint John","monthly",28,10,1983,19,4,1984,,"Equinox","The SJ Viewpoint",,,,,"Sub-title: The University of New Brunswick, Saint John Campus official student newspaper."
591,"The Weekly Advertiser","Saint John","weekly",30,11,1878,,,,,,,,,,,
171,"The Weekly Capital","Fredericton","weekly",21,9,1881,5,5,1886,"Yes",,,"The Fredericton Evening Capital","The Fredericton Capital",,61,
593,"The Weekly Citizen","Saint John","weekly",5,1,1989,5,6,1989,,"The Citizen",,,,,,
594,"The Weekly Despatch","Saint John","weekly",11,6,1862,15,4,1863,,,,,,,249,
662,"The Weekly Globe","St. Stephen","weekly",,,1897,,,1904,"Yes",,,,,,428,
601,"The Weekly Observer","Saint John","weekly",15,7,1828,20,1,1857,,"The Star",,,,,329,"Published under various titles including ""Saint John Observer"", ""The Saint John Observer, ""Saint John Observer and General Advertiser""."
275,"The Weekly Times","Moncton","2/weekly",,,1880,,,1891,"Yes","The Times","The Semi-Weekly Times",,,,146,
606,"The Weekly Tribune","Saint John","weekly",,6,1872,,,1875,"Yes",,,,,,43,"Weekly edition of ""Daily Tribune""."
175,"The Young Aspirant","Fredericton","weekly",12,5,1846,,,,"Yes",,,,,,,"PANB MC239"
320,"This Week (Riverview, New Brunswick: 1986)","Riverview","weekly",10,9,1986,21,10,1987,,"Riverview This Week","This Week in Riverview",,,,,
577,"This Week (Saint John, New Brunswick: 1849)","Saint John","weekly",,,1849,,,,,,,,,,39,
321,"This Week in Riverview","Riverview","weekly",28,10,1987,5,4,1989,,"This Week","This Week's Recorder",,,,,
322,"This Week's Recorder","Riverview","weekly",12,4,1989,11,4,1990,,"This Week in Riverview",,,,,,
86,"Times (Edmundston, New Brunswick: 1903)","Edmundston","2/monthly",,,1903,,,1905,"Yes",,,,,,5,
87,"Times Gazette","Edmundston","2/monthly",,,1905,,,1909,"Yes","Times",,,,,51,
661,"Times or Saint Croix Advertiser","St. Stephen","weekly",4,9,1833,,,,,,,,,,441,
94,"Topics","Florenceville","monthly",,,1906,,,,"Yes",,,,,,,
581,"Topics of the Town","Saint John","weekly",23,6,1904,,,,,,,,,,397,
272,"Topo","Moncton","irregular",,,1982,,,,"Yes",,,,,,,
582,"Torch","Saint John","weekly",22,12,1877,10,8,1878,,,,,,,398,
74,"Town Crier","Dalhousie","unknown",13,12,1932,8,9,1933,,,,,,,,
674,"Tracadie News","Tracadie","weekly",15,3,1947,,,,,,,,,,,
583,"Trade Reporter","Saint John","monthly",,5,1884,,,1886,"Yes",,,,,,4,
585,"True Liberator","Saint John","weekly",,5,1847,,,1850,,,,,,,45,
586,"Tucker Park Press","Saint John","irregular",15,3,1985,7,4,1987,,"The SJ Viewpoint","The Baron / UNBSJ campus news",,,,,"Sub-title: UNBSJ Campus News. Feb 4, 1986 issue called ""Puckered Up Press""; inverted pages at end of April 7, 1987 issue also called ""Puckered Up Press""."
167,"Union Jack","Fredericton","unknown",,,1880,,,,"Yes",,,,,,99,
587,"United Empire Loyalist","Saint John","weekly",,,1874,,,,,,,,,,48,
691,"Valley Visitor","Woodstock","unknown",,,,,,,,,,,,,,
303,"Victoria County Record","Perth-Andover","varies",,10,1976,,,,,,,,,,,
190,"Victoria Guardian","Grand Falls (Grand Sault)","weekly",,6,1862,,6,1863,"Yes",,"Woodstock Times and Victoria County Advocate",,,,,
305,"Victoria Observer","Perth-Andover","weekly",1,5,1915,,,,,,,,,,,
191,"Victoria Star","Grand Falls (Grand Sault)","weekly",,5,1884,,,,"Yes",,,,,,11,"Editor Lorimer, John G."
589,"Wasp","Saint John","2/weekly",22,1,1874,28,1,1874,"Yes",,,,,,411,
170,"Watchman (Fredericton, New Brunswick: 1833)","Fredericton","weekly",5,1,1833,9,6,1835,"Yes",,,,,,12,
35,"Week-End","Caraquet","weekly",4,6,1984,5,2,1988,,,,,,,,
595,"Weekly Freeman","Saint John","weekly",,,1849,,,1878,"Yes",,,"The Morning Freeman","The St. John Weekly Freeman",,259,"Title varies - may from time to time have published as The ""St. John Weekly Freeman""."
644,"Weekly Gazette","St. Martins","weekly",11,5,1907,,,1908,"Yes",,,,,,423,
172,"Weekly Gleaner","Fredericton","weekly",,,1886,,,,"Yes",,,,,,78,
596,"Weekly Globe","Saint John","varies",,,1861,,,1927,,"Saint John Weekly Globe",,,,,265,"A weekly and later a semi weekly edition of the ""Daily Evening Globe"", 1861 66 and ""Saint John Globe"", 1866 1927, intended for country subscribers."
597,"Weekly Journal","Saint John","weekly",1,12,1868,,6,1869,,,,,,"Weekly Telegraph",28,"Weekly edition of the ""Morning Journal"". It was absorbed when the ""Morning Journal"" and the  ""St. John Morning Telegraph"" became the ""St. John Daily Telegraph and Morning Journal*."
598,"Weekly New Brunswicker","Saint John","weekly",12,10,1855,,,1863,,,,,,,311,"Weekly edition of ""New Brunswicker or Colonial and Foreign Gazetteer""."
599,"Weekly News (1843)","Saint John","weekly",21,4,1843,2,4,1884,"Yes","Saint John Weekly News","Morning News",,,,325,"A weekly edition, for the country and England, of ""The Morning News, and General Advertising Newspaper"" and its successors."
600,"Weekly News (1903)","Saint John","weekly",,7,1903,,,,"Yes",,,,,,327,
602,"Weekly Press","Saint John","weekly",14,2,1957,,4,1958,"Yes",,,"Capital-Weekly Free Press","Capital-Weekly Free Press",,,
603,"Weekly Record (Saint John, New Brunswick: 1890)","Saint John","weekly",9,9,1890,9,8,1899,"Yes",,,,,,,"Weekly edition of ""Daily Record""."
604,"Weekly Review","Saint John","weekly",12,1,1950,,,,,,,,,,,
607,"Weekly Tribune and Educational Journal","Saint John","weekly",20,2,1860,,,,,,,,,,43,"Printer,  George W. Day."
68,"Weekly World","Chatham","weekly",26,1,1882,,7,1923,"Yes",,,,,,38,
608,"West End News and Fairville Times","Saint John","weekly",25,10,1912,,,1913,,,,,,,413,
312,"West Quaco Lyre","Quaco","daily",18,7,1903,31,7,1903,,,,,,,,
610,"Western Recorder and Carleton Advertiser and Home Journal","Saint John","weekly",,3,1857,,,1858,"Yes",,"Western Recorder and Weekly Herald",,,,414,
611,"Western Recorder and Weekly Herald","Saint John","weekly",,3,1858,,,1859,"Yes","Western Recorder and Carleton Advertiser and Home Journal",,,,,414,"Published in Carleton, Nova Scotia now known as Saint John, New Brunswick."
277,"Westmorland Free Press","Moncton","weekly",5,1,1895,,,1897,"Yes",,,,,"The Semi-Weekly Post",,"Seems to have been known by various titles - Free Press, Sackville Free Press."
278,"Westmorland Times","Moncton","weekly",,,1855,,,1860,,,,,,,155,
692,"Woodstock Acadian","Woodstock","weekly",29,4,1865,,,1868,"Yes","Woodstock Journal",,,,,458,
696,"Woodstock Times and Victoria County Advocate","Woodstock","weekly",,6,1863,24,10,1863,,"Victoria Guardian",,,,"Carleton Sentinel",596,
612,"Y.M.C.A. Reporter","Saint John","weekly",,,1936,,,,,,,,,,,
280,"Zélé","Moncton","unknown",,,1985,,,,,"Le Masqoui",,,,,,"Published by the French high schools of New Brunswick."
