"intNewspaperID","strPlace","strNewspaper","strInterval","intStartingVolume","intStartingNumber","intStartingDay","intStartingMonth","intStartingYear","intEndingVolume","intEndingNumber","intEndingDay","intEndingMonth","intEndingYear","strContinuesFrom","strContinuedBy","strMergedWith","strToForm","strAbsorbedBy","intHarper","strNoteEN","strNoteFR","ysnContinued","ysnFrench","ysnDatesQuestionable"
"159","Fredericton","Southwest Valley Reporter","2/monthly","1","1","18","8","1988","3","24","22","2","1991","-","-","-","-","-","0","Carries news from Harvey and McAdam.","Publie des nouvelles de Harvey et McAdam.","False","False","False"
"160","Fredericton","The Star","3/weekly","2","0","0","0","1879","2","183","29","7","1880","142","59","-","-","-","97","The date when title changed from ""Morning Star"" to The ""Star"" is unknown.","On ne connaît pas la date du changement de nom de ""Morning Star"" à The ""Star"".","False","False","True"
"161","Fredericton","The Sun","weekly","1","1","1","2","1978","1","1","20","12","1978","-","-","-","-","-","0","-","-","False","False","False"
"162","Fredericton","Temperance Journal","varies","1","1","20","7","1885","0","0","0","0","1892","163","163","-","-","-","98","Official Organ of the Sons of Temperance of America.  Microfilmed with the ""New Brunswick Reporter and Fredericton Advertiser"".","Organe officiel des Sons of Temperance of America. Microfilmé avec le ""New Brunswick Reporter and Fredericton Advertiser"".","False","False","True"
"163","Fredericton","Temperance Journal and New Brunswick Reporter","weekly","4","11","17","3","1888","4","31","11","8","1888","162","162","-","-","-","98","Published jointly with The ""New Brunswick Reporter"" and The ""Reporter"".","Publié conjointement avec The ""New Brunswick Reporter"" et The ""Reporter"".","False","False","False"
"164","Fredericton","Ten Penny","monthly","1","0","0","7","1971","2","0","0","8","1971","-","-","-","-","-","0","-","-","False","False","False"
"165","Fredericton","The Times","weekly","1","1","0","4","1851","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"166","Fredericton","True Democracy","2/monthly","1","1","0","0","1945","4","0","0","0","1948","-","-","-","-","-","0","-","-","False","False","True"
"167","Fredericton","Union Jack","unknown","0","0","0","0","1880","0","0","0","0","0","-","-","-","-","-","99","-","-","False","False","True"
"168","Fredericton","The United Empire","2/weekly","1","1","30","5","1854","0","0","0","8","1854","-","-","-","-","-","100","-","-","False","False","True"
"169","Fredericton","The University Monthly","unknown","1","1","0","3","1882","41","7","0","5","1922","-","105","-","-","-","101","-","-","False","False","False"
"170","Fredericton","Watchman","weekly","1","1","13","5","1833","0","0","0","0","1835","-","-","-","-","-","102","-","-","False","False","True"
"171","Fredericton","The Weekly Capital","weekly","1","1","21","9","1881","6","0","5","5","1886","-","-","122","120","-","61","-","-","False","False","True"
"172","Fredericton","Weekly Gleaner","weekly","0","0","0","0","1886","0","0","0","0","0","-","-","-","-","-","78","-","-","False","False","True"
"173","Fredericton","The Weekly Herald","weekly","1","1","10","12","1881","0","0","7","12","1889","-","-","106","135","-","80","-","-","False","False","True"
"174","Fredericton","York Gleaner","weekly","1","1","0","1","1881","4","52","24","12","1884","-","-","-","-","129","105","The Gleaner began publishing concurrently tri-weekly in May 1884.","Le Gleaner a lancé en parallèle un trihebdomadaire en mai 1884.","False","False","True"
"175","Fredericton","The Young Aspirant","weekly","1","1","12","5","1846","0","0","0","0","0","-","-","-","-","-","0","PANB MC239","APNB MC239","False","False","True"
"176","Fredericton Junction","Gladstone Guardian","monthly","1","1","0","0","1903","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"177","Gagetown","Queen's County Gazette","weekly","1","1","10","2","1897","0","0","0","5","1907","-","-","-","-","-","107","-","-","False","False","True"
"178","Glassville","The Glassville News","monthly","1","8","15","9","1893","0","0","0","0","1896","179","-","-","-","-","0","-","-","False","False","True"
"179","Glassville","The Glassville News and Aberdeen and Kent Pioneer","monthly","1","1","0","1","1893","1","7","15","8","1893","-","178","-","-","-","0","-","-","False","False","True"
"180","Grand Bay","The River Valley News","varies","0","0","0","4","1986","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","False"
"181","Grand Falls (Grand Sault)","L'Action Régionale","weekly","1","1","22","5","1991","5","18","22","8","1995","-","-","-","-","-","0","-","-","False","True","False"
"182","Grand Falls (Grand Sault)","The Cataract - La Cataracte","weekly","3","9","17","11","1955","17","41","11","6","1970","183,184","184","-","-","-","109","-","-","False","False","False"
"183","Grand Falls (Grand Sault)","The Cataract Weekly - La Cataracte hebdomadaire","weekly","1","1","17","9","1953","3","8","10","11","1955","182","182","-","-","-","109","-","-","True","True","False"
"184","Grand Falls (Grand Sault)","The Cataract and Victoria County Weekly - La Cataracte","weekly","7","11","26","11","1959","8","11","23","11","1961","182","182","-","-","-","109","-","-","False","False","False"
"185","Grand Falls (Grand Sault)","La Gazette - The Gazette","unknown","1","1","4","6","1980","1","30","30","12","1980","-","-","-","-","676","0","-","-","False","False","False"
"186","Grand Falls (Grand Sault)","Grand Falls Free Press","weekly","1","1","4","1","1962","1","31","30","8","1962","-","-","-","-","-","0","-","-","False","False","False"
"187","Grand Falls (Grand Sault)","Grand Falls Gazette","weekly","1","1","0","0","1927","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"188","Grand Falls (Grand Sault)","The Grand Falls Observer","weekly","1","1","17","5","1923","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"189","Grand Falls (Grand Sault)","Victoria County News","weekly","1","1","0","0","1900","0","0","0","0","0","-","304","-","-","-","164","-","-","False","False","True"
"190","Grand Falls (Grand Sault)","Victoria Guardian","weekly","1","1","0","6","1862","0","0","0","6","1863","-","696","-","-","-","0","-","-","False","False","True"
"191","Grand Falls (Grand Sault)","Victoria Star","weekly","1","1","0","5","1884","0","0","0","0","0","-","-","-","-","-","110","Editor Lorimer, John G.","Éditeur : John G. Lorimer","False","False","True"
"192","Hampton","Hampton Herald","biweekly","1","1","6","5","1982","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","False"
"193","Hampton","Kings County News","unknown","1","1","15","11","1894","5","8","29","12","1898","-","-","-","-","-","116","-","-","False","False","False"
"194","Harcourt","The Harcourt Advertiser","weekly","1","1","0","6","1894","0","0","0","0","0","-","-","-","-","-","0","Prospectus published in ""Union Advocate"", May 30, 1894.","Prospectus publié dans le ""Union Advocate"", le 30 mai 1894.","False","False","True"
"195","Hartland","Carleton Observer","weekly","1","1","0","0","1909","20","39","19","3","1930","-","200","-","-","80","120","-","-","False","False","True"
"196","Hartland","The Carleton Times","weekly","1","1","5","6","1985","1","27","4","12","1985","-","-","-","-","-","0","-","-","False","False","False"
"197","Hartland","Chat","weekly","1","1","0","0","1905","0","0","0","0","1909","-","-","-","-","-","117","-","-","False","False","True"
"198","Hartland","Hartland Advertiser","weekly","1","1","0","2","1897","0","0","0","0","1909","-","-","-","-","-","118","-","-","False","False","True"
"199","Hartland","Maritime Railway News","weekly","1","1","24","12","1932","0","0","0","0","0","-","-","-","-","-","119","Sub-title ""A Weekly Newspaper for Railroad Workers"".  Published for 2 years by Charles Allen at the ""Observer"" office.","Sous-titre : « A Weekly Newspaper for Railroad Workers ». Publié pendant 2 ans par Charles Allen dans les bureaux de l'""Observer"".","False","False","True"
"200","Hartland","Observer","weekly","20","40","26","3","1930","0","0","0","0","0","195","-","-","-","-","120","-","-","True","False","False"
"201","Hartland","Primitive Baptist","2/monthly","1","1","0","0","1905","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"202","Harvey","Harvey Lionews","monthly","0","1","0","3","1971","0","38","0","5","1974","-","-","-","-","-","0","-","-","False","False","True"
"203","Havelock","Positive Impact","biweekly","1","1","24","8","1988","0","0","0","12","1989","-","203","-","-","-","0","-","-","False","False","False"
"204","Hillsboro","Albert County Review","weekly","0","0","0","5","1862","0","0","0","1","1863","-","-","-","-","-","121","-","-","False","False","False"
"205","Hillsboro","Albert Journal","weekly","1","1","27","3","1903","17","52","29","12","1920","-","-","-","-","-","122","Published under various titles including The Albert County Journal, The Albert Journal, The Albert Journal and County Record and Albert Journal(1905)","Publié sous des titres différents, notamment The Albert County Journal, The Albert Journal, The Albert Journal and County Record et Albert Journal (1905).","False","False","False"
"206","Hillsboro","The Albert Star","weekly","1","1","16","5","1894","1","47","3","4","1895","-","-","-","-","-","123","-","-","False","False","True"
"207","Hillsboro","Colonial Express","unknown","0","0","0","9","1863","0","0","0","0","0","-","-","-","-","-","124","-","-","False","False","False"
"208","Hillsboro","Eastern Advocate","weekly","1","1","0","10","1863","0","0","0","0","1868","-","-","-","-","-","125","-","-","False","False","True"
"209","Hillsboro","Weekly Observer","weekly","1","1","14","3","1885","5","0","29","8","1889","-","-","-","-","-","127","Wells, John M., editor and proprietor","Propriétaire-éditeur : John M. Wells","False","False","True"
"210","Maisonnette","Le Pari","monthly","0","0","0","5","1969","0","0","0","10","1970","-","-","-","-","-","0","Missing issues of the microfilm: 1969 jl, n","Livraions manquantes du microfilm: 1969 jl, n","False","True","False"
"211","McAdam","The Fortnighter","2/monthly","0","0","0","0","1970","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","True"
"212","Millerton","Miramichi News","weekly","1","1","10","0","1911","0","0","0","0","1919","-","-","-","-","-","131","-","-","False","False","True"
"213","Moncton","Acadie dimanche","unknown","0","0","25","2","1973","0","0","0","0","0","-","-","-","-","-","0","-","-","False","True","False"
"214","Moncton","L'Acadien","2/monthly","1","1","27","11","1913","10","203","10","9","1926","-","-","-","-","-","132","-","-","False","True","False"
"215","Moncton","Acaditout","monthly","1","1","0","9","1976","1","10","0","0","1977","-","-","-","-","-","0","-","-","False","True","False"
"216","Moncton","Bleuettes","unknown","0","1","0","6","1974","17","2","0","12","1963","-","262","-","-","-","0","-","-","False","True","False"
"217","Moncton","The Brunswick Business Journal","biweekly","3","0","0","10","1986","0","0","0","0","0","104","-","-","-","-","0","-","-","True","False","True"
"218","Moncton","Campus","unknown","1","0","0","0","1968","15","0","0","0","1984","-","234","-","-","-","0","-","-","False","False","False"
"219","Moncton","Church Guardian","weekly","1","1","0","0","1880","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"220","Moncton","Contact Nazareth","2/yearly","1","1","14","2","1990","0","0","0","0","0","-","-","-","-","-","0","-","-","True","True","False"
"221","Moncton","Daily Leader","daily","1","1","11","3","1895","1","132","0","8","1895","-","-","-","-","-","142","-","-","False","False","True"
"222","Moncton","Daily Times","daily","1","1","11","8","1877","55","145","29","1","1932","270","246","-","-","-","146","-","-","False","False","False"
"223","Moncton","Daily Transcript","daily","1","1","24","5","1882","24","185","30","12","1905","-","250","-","-","-","147","-","-","False","False","False"
"224","Moncton","Eastern Labor News","weekly","1","1","6","2","1909","5","42","13","11","1913","-","-","-","-","-","136","-","-","False","False","False"
"225","Moncton","L'Embryon","unknown","1","1","0","12","1970","1","2","0","1","1971","258","243","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"226","Moncton","L'Evangéline","weekly","18","31","1","6","1905","95","186","27","9","1982","274","260","253","-","-","138","""L'Evangéline"" was published in Digby and Weymouth, Nova Scotia from 1887-1905.","""L'Evangéline"" fut publié à Digby et Weymouth, Nouvelle-Ecosse de 1887-1905.","False","True","False"
"227","Moncton","The Family Record","weekly","1","1","19","5","1894","0","0","0","0","1894","-","-","-","-","-","0","-","-","False","False","True"
"228","Moncton","Le Fermier acadien","unknown","0","0","0","0","1927","0","0","0","0","1962","-","-","-","-","-","0","-","-","False","True","False"
"229","Moncton","FEUM Information","unknown","0","0","21","9","1972","2","1","22","11","1973","243","238","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"230","Moncton","Free Speech","weekly","1","1","11","7","1907","0","0","0","0","1909","-","-","-","-","-","0","-","-","False","False","True"
"231","Moncton","The Freeman","weekly","1","1","16","3","1898","0","0","0","0","0","-","-","-","-","-","0","The following reference appeared in The Daily Transcript Mar 26, 1898, p4, col 1. - ""A new weekly paper called The Freeman made its bow to the public this morning"".  ""It is an eight page paper, typography neat and presenting a good supply of local news of local news of interest and encouraging advertising patronage. This paper is independent and will confine itself principally to topics of local concern.""","La mention suivante a été publiée dans le Daily Transcript, le 26 mars 1898, dans la première colonne de la page 4 : « A new weekly paper called The Freeman made its bow to the public this morning. It is an eight page paper, typography neat and presenting a good supply of local news of interest and encouraging advertising patronage. This paper is independent and will confine itself principally to topics of local concern. » (« Un nouvel hebdomadaire appelé The Freeman a vu le jour ce matin. Il s'agit d'un journal huit pages de belle facture contenant une bonne part de nouvelles locales et de réclames publicitaires. C'est un journal indépendant qui se limitera essentiellement aux questions d'intérêt local. »)","False","False","False"
"232","Moncton","Le Front","unknown","6","4","31","1","1977","0","0","0","0","0","238","268","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","True","True","False"
"233","Moncton","Le guide libéral/The Liberal Guide","unknown","1","1","0","0","1982","0","0","0","0","0","-","-","-","-","-","0","-","-","False","True","False"
"234","Moncton","Hebdo-Campus","unknown","0","0","0","9","1984","0","0","0","0","0","218","-","-","-","-","0","-","-","True","True","False"
"235","Moncton","Info-Mag","monthly","1","1","0","3","1988","4","2","0","5","1991","-","-","-","-","-","0","-","-","False","True","False"
"236","Moncton","Informaton","unknown","1","1","0","12","1976","0","0","0","0","0","-","-","-","-","-","0","-","-","False","True","False"
"237","Moncton","L'Insecte","monthly","26","2","15","12","1967","2","7","0","12","1968","614","245","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"238","Moncton","La Jaunisse","unknown","2","2","3","12","1973","6","3","24","1","1977","229","232","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","False","False"
"239","Moncton","Journal Etudiant","unknown","17","5","8","9","1980","0","0","0","0","0","244","232","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"240","Moncton","Le Lien","unknown","1","1","0","11","1946","0","0","0","4","1964","-","-","-","-","-","0","-","-","False","True","True"
"241","Moncton","Le Masqoui","unknown","0","1","21","11","1979","0","0","0","0","1985","-","280","-","-","-","0","Published by the French high schools of New Brunswick","Publié par les écoles secondaires de langue française du Nouveau-Brunswick","False","True","False"
"242","Moncton","Le Matin","daily","1","1","11","8","1986","2","223","29","6","1988","-","-","-","-","-","0","-","-","False","True","False"
"243","Moncton","La Mèche","unknown","1","1","0","3","1972","2","3","0","12","1972","225","229","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","False","False"
"244","Moncton","Le Medium","unknown","16","5","22","10","1979","17","4","17","4","1980","268","239","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","False","False"
"245","Moncton","Microbe","unknown","1","1","23","11","1968","1","9","12","2","1969","237","251","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"246","Moncton","Moncton Daily Times","daily","55","146","30","1","1932","93","129","9","1","1971","222","249","-","-","-","146","-","-","False","False","False"
"247","Moncton","The Moncton Dispatch","2/weekly","0","0","0","0","1879","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"248","Moncton","The Moncton Free Press","weekly","1","1","8","4","1970","2","19","18","8","1971","-","-","-","-","-","0","-","-","False","False","False"
"249","Moncton","Moncton Times","daily","93","130","11","1","1971","106","122","31","12","1982","246","-","250","271","-","146","-","-","False","False","False"
"250","Moncton","Moncton Transcript","daily","24","186","2","1","1906","100","174","31","12","1982","223","-","249","271","-","147","-","-","False","False","False"
"251","Moncton","La Moustache","irregular","1","7","13","2","1969","2","3","24","7","1969","245","258","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"252","Moncton","La Nation","weekly","1","1","7","3","1929","2","25","21","8","1930","-","-","-","-","-","148","-","-","False","True","False"
"253","Moncton","L'Ordre Sociale","weekly","1","1","15","8","1937","7","30","7","3","1944","-","226","-","-","-","149","-","-","False","True","False"
"254","Moncton","Le Perroquet","monthly","0","1","15","9","1992","0","13","15","4","1994","-","-","-","-","-","0","-","-","False","True","False"
"255","Moncton","Petitcodiac Extra","unknown","0","0","0","0","1866","0","0","0","0","0","-","-","-","-","-","150","-","-","False","False","True"
"256","Moncton","The Pilot","monthly","1","1","0","0","1932","0","0","0","0","0","-","-","-","-","-","0","Official organ of Cooperative Commonwealth Federation, New Brunswick section\nDates are questionable.","Organe officiel de la section du Nouveau-Brunswick de la Cooperative Commonwealth Federation. Les dates sont douteuses.","False","False","False"
"257","Moncton","The Plain Dealer","weekly","1","1","0","0","1892","0","0","0","0","1893","-","-","-","-","-","0","-","-","False","False","True"
"258","Moncton","Le Point","irregular","0","0","15","1","1970","0","0","10","4","1970","251","225","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","True","False"
"259","Moncton","Pro-vision","weekly","1","1","17","8","1983","4","8","23","10","1985","-","-","-","-","-","0","-","-","False","True","False"
"260","Moncton","Le Progrès L'Evangéline","daily","83","159","17","8","1970","84","254","31","12","1971","226","226","-","-","-","138","-","-","False","True","False"
"261","Moncton","Reconstruction Free Press","unknown","0","0","0","0","1935","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"262","Moncton","Rencontre","unknown","1","1","0","0","1964","2","4","0","5","1965","216","-","-","-","-","0","-","-","False","True","False"
"263","Moncton","Le réveil","2/monthly","1","1","23","10","1936","2","2","6","7","1937","-","-","-","-","-","0","-","-","False","False","False"
"264","Moncton","The Rural Report","monthly","0","0","15","9","1988","0","0","0","12","1990","89","-","-","-","-","0","-","-","False","False","False"
"265","Moncton","The Semi-Weekly Times","2/weekly","1","1","0","0","1918","0","0","0","0","1930","275","-","-","-","-","146","-","-","False","False","True"
"266","Moncton","The Semi-Weekly Transcript","2/weekly","0","0","0","0","0","0","0","0","0","1931","276","-","-","-","-","147","-","-","False","False","True"
"267","Moncton","The Senior Citizen","unknown","1","1","0","7","1979","0","0","0","0","0","-","-","-","-","-","0","-","-","False","True","False"
"268","Moncton","Superfront","unknown","16","1","24","9","1979","16","4","15","10","1979","232","244","-","-","-","0","Student newspaper of the Université de Moncton","Journal étudiante de l'Université de Moncton","False","False","False"
"269","Moncton","The Times","weekly","1","1","10","12","1868","0","0","0","0","1879","275","-","-","-","-","146","-","-","False","False","True"
"270","Moncton","The Times and Westmorland  and Albert Local News Journal","weekly","0","0","0","12","1868","0","0","0","8","1877","-","222","-","-","-","146","-","-","False","False","False"
"271","Moncton","The Times-Transcript","daily","1","1","3","1","1983","0","0","0","0","0","-","-","-","-","-","0","Formed by merger of: ""Moncton Times"" and ""Moncton Transcript""","Formé par la fusion du ""Moncton Times"" et du ""Moncton Transcript"".","True","False","False"
"272","Moncton","Topo","irregular","1","1","0","0","1982","0","0","0","0","0","-","-","-","-","-","0","-","-","True","True","True"
"273","Moncton","Le village global/The Global Village","weekly","1","1","29","6","1988","0","0","0","0","0","-","-","-","-","-","0","BiCom, a bilingual communications company whose head office is in Moncton.","BiCom, une entreprise bilingue de communications, dont le siège social est à Moncton.","False","False","False"
"274","Moncton","La Voix d'Evangéline","weekly","27","10","5","8","1937","33","9","2","3","1944","226","226","-","-","-","138","-","-","False","False","False"
"275","Moncton","The Weekly Times","2/weekly","0","0","0","0","1880","0","0","0","0","1891","269","265","-","-","-","146","-","-","False","False","True"
"276","Moncton","Weekly Transcript","weekly","1","1","14","6","1882","0","0","0","0","1901","-","266","-","-","-","147","-","-","False","False","True"
"277","Moncton","Westmorland Free Press","weekly","1","1","5","1","1895","0","0","0","0","1897","-","-","-","-","336","0","Seems to have been known by various titles - Free Press, Sackville Free Press.","Semble avoir eu divers noms : Free Press, Sackville Free Press.","False","False","True"
"278","Moncton","Westmorland Times","weekly","1","1","0","0","1855","0","0","0","0","1860","-","-","-","-","-","155","-","-","True","True","False"
"279","Moncton","Le Zap-Ado","irregular","1","1","0","0","1995","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","False"
"280","Moncton","Zélé","unknown","0","0","0","0","1985","0","0","0","0","0","241","-","-","-","-","0","Published by the French high schools of New Brunswick.","Publié par les écoles secondaires de langue française du Nouveau-Brunswick.","True","True","False"
"281","Mouth of Keswick","Keswick Exchange","monthly","1","1","0","5","1981","0","0","0","0","0","-","-","-","-","-","0","-","-","True","False","False"
"282","Newcastle","The Cariboo Courier - Devoted to the interests of the North Shore Counties","monthly","1","1","0","3","1872","1","5","0","7","1872","-","-","-","-","-","0","-","-","False","False","False"
"283","Newcastle","La Justice","weekly","1","1","12","4","1906","2","22","19","9","1907","-","-","-","-","-","158","-","-","False","False","False"
"284","Newcastle","Leader","weekly","0","1","23","11","1893","0","3","9","12","1893","-","-","-","-","-","159","Small newspaper which Lord Beaverbrook edited when he was a boy of fourteen in Newcastle.  The paper had an interesting motto:  ""we lead, let those follow who can.""  Only three issues were published.","Petit journal publié à Newcastle par lord Beaverbrook alors qu'il avait 14 ans. Le journal avait une intéressante devise : « We lead, let those follow who can. » Seules trois éditions ont été publiées.","False","False","False"
"285","Newcastle","Miramichi Leader","weekly","0","0","3","1","1979","0","0","0","0","0","287","-","-","-","-","0","-","-","True","False","False"
"286","Newcastle","The Newcastle Union Advocate","weekly","42","5","3","11","1909","44","17","28","2","1911","289","289","-","-","-","162","-","-","False","False","False"
"287","Newcastle","The North Shore Leader","weekly","1","1","23","0","1906","73","26","27","12","1978","-","285","-","-","-","160","-","-","False","False","False"
"288","Newcastle","Northumberland News","weekly","0","0","0","0","1896","0","0","0","0","0","-","-","-","-","-","161","-","-","False","False","True"
"289","Newcastle","Union Advocate","weekly","1","1","14","11","1867","0","0","23","6","1948","286","-","-","-","-","162","-","-","False","False","False"
"290","North Head, Grand Manan","Bay Pilot","weekly","0","0","0","0","1876","0","0","0","0","1878","-","621","-","-","-","0","-","-","False","False","False"
"291","North Head, Grand Manan","Island News","weekly","1","1","13","5","1881","0","0","0","0","1884","-","-","-","-","-","113","-","-","False","False","False"
"292","North Head, Grand Manan","Island Press","weekly","1","1","22","11","1883","0","0","0","0","1887","-","-","-","-","-","114","-","-","False","False","False"
"293","Oromocto","Base Gagetown Gazette","weekly","11","31","2","8","1972","21","35","16","10","1981","296","295","-","-","-","0","-","-","False","False","False"
"294","Oromocto","Camp Gagetown Gazette","weekly","1","1","16","12","1960","6","14","7","4","1966","-","296","-","-","-","0","-","-","False","False","False"
"295","Oromocto","Canadian Forces Base Gagetown Gazette","weekly","6","37","29","9","1966","20","37","8","10","1980","296","296","-","-","-","0","-","-","False","False","False"
"296","Oromocto","Gagetown Gazette","weekly","6","15","14","4","1966","11","30","26","7","1972","294","295","-","-","-","0","-","-","False","False","False"
"297","Oromocto","Gazette","weekly","11","17","26","4","1972","0","0","0","0","0","296","-","-","-","-","0","-","-","False","False","False"
"298","Oromocto","Oromocto Monitor","weekly","1","1","1","12","1971","5","9","31","12","1974","-","-","-","-","-","0","-","-","False","False","True"
"299","Oromocto","Oromocto Post","weekly","16","48","7","1","1975","0","0","30","6","1993","-","-","-","-","-","0","1971 - 74 published as a supplement to the ""Daily Gleaner"", continuing the column numbering of the ""Base Gagetown Gazette"".\n1975, Feb 12 legally became an independent community newspaper.","Publié de 1971 à 1974 comme supplément au ""Daily Gleaner"" et poursuivant la numérotation des colonnes du ""Base Gagetown Gazette"".\nDevient légalement un journal communautaire indépendant le 12 février 1975.","False","False","False"
"300","Parrtown, Nova Scotia","Royal New Brunswick Gazette and General Advertiser","weekly","0","0","0","0","1784","0","0","0","0","1785","300","506,507","-","-","-","352","Included despite Nova Scotian imprint because of its place in the continuing history of this title, and because New Brunswick did not exist as a seperate province at the time of publication.\nCLA microfilmed this paper under the title The ""Saint John Gazette"".","Inclus malgré sa publication en Nouvelle-Écosse en raison de la place qu'il occupe dans la longue histoire du présent journal et parce que le Nouveau-Brunswick n'existait pas comme province distincte au moyen de sa publication.\nLa CLA l'a microfilmé sous le titre The ""Saint John Gazette"".","False","False","False"
"301","Perth-Andover","The Perth-Andover Gazette","weekly","1","1","9","11","1967","2","0","26","6","1969","-","-","679,93","677","-","0","-","-","False","False","True"
"302","Perth-Andover","River Valley Times","weekly","0","0","8","9","1995","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"303","Perth-Andover","Victoria County Record","varies","1","1","0","10","1976","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"304","Perth-Andover","Victoria News","weekly","1","1","0","6","1920","19","24","0","0","1938","189","306","-","-","-","164","-","-","False","False","True"
"305","Perth-Andover","Victoria Observer","weekly","1","1","1","5","1915","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"306","Perth-Andover","Victorian","weekly","19","25","3","11","1938","57","24","15","11","1956","304","-","-","-","-","0","-","-","False","False","False"
"307","Petit-Rocher","L'Etoile","2/monthly","1","1","23","2","1984","3","13","23","12","1985","-","-","-","-","-","0","-","-","False","False","False"
"308","Petit-Rocher","Le Ven' d' est","2/monthly","0","1","0","10","1985","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"309","Petit-Rocher","Petitcodiac News-Advertiser","monthly","0","1","0","10","1925","0","0","0","0","1926","-","-","-","-","-","0","-","-","False","False","True"
"310","Point Lepreau","Beacon Fundy Shore News Bulletin","monthly","0","0","0","0","1977","0","0","0","0","1985","-","-","-","-","-","0","-","-","False","False","False"
"311","Point Lepreau","The Nucleus, Project Paper of the Point Lepreau Generating Station","unknown","1","7","24","2","1978","8","1","8","2","1983","-","-","-","-","-","0","-","-","False","False","False"
"312","Quaco","West Quaco Lyre","daily","1","1","18","7","1903","1","11","31","7","1903","-","-","-","-","-","0","-","-","False","False","False"
"313","Renforth","Renforth Reporter","2/monthly","1","1","10","8","1918","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"314","Richibucto","Info - Affaires","unknown","1","1","27","2","1989","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"315","Richibucto","Pro-Kent","weekly","1","1","11","9","1985","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","False"
"316","Richibucto","Review","weekly","1","1","24","8","1889","0","0","0","0","1914","-","-","-","-","-","167","-","-","False","False","False"
"317","Riverview","Riverview Gazette","weekly","1","1","9","2","1983","1","17","21","6","1983","-","-","-","-","-","0","-","-","False","False","False"
"318","Riverview","The Riverview Recorder","weekly","0","0","28","12","1958","0","0","27","6","1959","-","-","-","-","-","0","-","-","False","False","True"
"319","Riverview","Riverview This Week","weekly","1","1","1","11","1983","3","45","3","9","1986","-","320","-","-","-","0","Special introductory edition, published October 25, 1983","Édition spéciale de lancement publiée le 25 octobre 1983.","False","False","False"
"320","Riverview","This Week","weekly","3","46","10","9","1986","4","51","21","10","1987","319","321","-","-","-","0","-","-","False","False","False"
"321","Riverview","This Week in Riverview","weekly","5","1","28","10","1987","6","23","5","4","1989","320","322","-","-","-","0","-","-","False","False","False"
"322","Riverview","This Week's Recorder","weekly","6","24","12","4","1989","7","51","11","4","1990","321","-","-","-","-","0","-","-","False","False","False"
"323","Rogersville","The Clarion","unknown","1","1","0","0","1934","0","0","0","0","0","-","-","-","-","-","0","-","-","False","False","True"
"324","Rothwell","Rothwell News","unknown","0","0","0","0","1943","0","0","0","0","1945","-","-","-","-","-","0","-","-","False","False","False"
"325","Sackville","The Argosy","weekly","3","1","0","9","1876","0","0","0","0","0","331","-","-","-","-","170","-","-","False","False","False"
"326","Sackville","Borderer","weekly","0","0","0","0","1878","0","0","0","8","1879","327","-","328","329","-","171","-","-","False","False","False"
"327","Sackville","Borderer and Westmorland and Cumberland Advertiser","weekly","1","1","0","0","1856","0","0","0","0","1877","-","326","-","-","-","171","-","-","False","False","False"
